case_id,profile_id,model,subtask1,subtask2,subtask3,subtask4,st2_precision,st2_recall,st2_f1,st3_word_overlap,st4_precision,st4_recall,st4_f1
,,billylo/medgemma-1.5-4b-vision,,,,,0.5456277056277057,0.20272108843537415,0.2274829931972789,0.3219083187489919,0.251834510518721,0.26253555967841685,0.23813784099498386
,,gemma3:latest,,,,,0.7833333333333333,0.4574829931972789,0.570191713048856,0.3498704998023213,0.3392517006802721,0.32750773036487324,0.32868293925348324
,,llama3.1:8b,,,,,0.8214285714285714,0.423469387755102,0.547233560090703,0.4248025433296858,0.24312925170068028,0.15161410018552876,0.18120237568711697
,,qwen3:8b,,,,,0.4952380952380952,0.2642857142857143,0.33405895691609977,0.29046862479017016,0.16944444444444443,0.1370933828076685,0.141682198480228
